date,mean,month,quarter,name,year,bridge,Ferry
2019-03-01T00:00:00,507.6503759,3,1,Cao Lanh,2019,1,1
2019-04-01T00:00:00,278.6071429,4,2,Cao Lanh,2019,1,1
2019-05-01T00:00:00,327.4,5,2,Cao Lanh,2019,1,1
2019-06-01T00:00:00,432.8333333,6,2,Cao Lanh,2019,1,1
2019-07-01T00:00:00,511.875,7,3,Cao Lanh,2019,1,1
2019-08-01T00:00:00,575.75,8,3,Cao Lanh,2019,1,1
2019-09-01T00:00:00,440.75,9,3,Cao Lanh,2019,1,1
2019-10-01T00:00:00,480.625,10,4,Cao Lanh,2019,1,1
2019-11-01T00:00:00,501.5,11,4,Cao Lanh,2019,1,1
2019-12-01T00:00:00,293.2142857,12,4,Cao Lanh,2019,1,1
2007-01-01T00:00:00,413.7721691,1,1,Co Chien,2007,0,0
2007-02-01T00:00:00,321.513852,2,1,Co Chien,2007,0,0
2007-03-01T00:00:00,446.5688905,3,1,Co Chien,2007,0,0
2007-04-01T00:00:00,412.6942893,4,2,Co Chien,2007,0,0
2007-05-01T00:00:00,601.2600619,5,2,Co Chien,2007,0,0
2007-06-01T00:00:00,497.9048223,6,2,Co Chien,2007,0,0
2007-07-01T00:00:00,655.5380711,7,3,Co Chien,2007,0,0
2007-08-01T00:00:00,621,8,3,Co Chien,2007,0,0
2007-09-01T00:00:00,727.751269,9,3,Co Chien,2007,0,0
2007-10-01T00:00:00,432.7753807,10,4,Co Chien,2007,0,0
2007-11-01T00:00:00,511.5793147,11,4,Co Chien,2007,0,0
2007-12-01T00:00:00,478.8299492,12,4,Co Chien,2007,0,0
2008-01-01T00:00:00,451.9517766,1,1,Co Chien,2008,0,0
2008-02-01T00:00:00,408.4033437,2,1,Co Chien,2008,0,0
2008-03-01T00:00:00,436.8291878,3,1,Co Chien,2008,0,1
2008-04-01T00:00:00,388.4708122,4,2,Co Chien,2008,0,1
2008-05-01T00:00:00,539.4396285,5,2,Co Chien,2008,0,1
2008-06-01T00:00:00,725.7722513,6,2,Co Chien,2008,0,1
2008-07-01T00:00:00,535.826087,7,3,Co Chien,2008,0,1
2008-08-01T00:00:00,495.632107,8,3,Co Chien,2008,0,1
2008-09-01T00:00:00,546,9,3,Co Chien,2008,0,1
2008-10-01T00:00:00,459.7801047,10,4,Co Chien,2008,0,1
2008-11-01T00:00:00,361.8526316,11,4,Co Chien,2008,0,1
2008-12-01T00:00:00,431.8451777,12,4,Co Chien,2008,0,1
2009-01-01T00:00:00,500.2969422,1,1,Co Chien,2009,0,1
2009-02-01T00:00:00,183.0447124,2,1,Co Chien,2009,0,1
2009-03-01T00:00:00,371.6428088,3,1,Co Chien,2009,0,1
2009-04-01T00:00:00,348.5619048,4,2,Co Chien,2009,0,1
2009-05-01T00:00:00,514.3976311,5,2,Co Chien,2009,0,1
2009-06-01T00:00:00,465.1255499,6,2,Co Chien,2009,0,1
2009-07-01T00:00:00,535.8668731,7,3,Co Chien,2009,0,1
2009-08-01T00:00:00,423.5144695,8,3,Co Chien,2009,0,1
2009-09-01T00:00:00,499.5513514,9,3,Co Chien,2009,0,1
2009-10-01T00:00:00,299.8959391,10,4,Co Chien,2009,0,1
2009-11-01T00:00:00,328.9130435,11,4,Co Chien,2009,0,1
2009-12-01T00:00:00,330.3958545,12,4,Co Chien,2009,0,1
2010-01-01T00:00:00,371.1842766,1,1,Co Chien,2010,0,1
2010-02-01T00:00:00,285.3240341,2,1,Co Chien,2010,0,1
2010-03-01T00:00:00,410.9680741,3,1,Co Chien,2010,0,1
2010-04-01T00:00:00,577.9128596,4,2,Co Chien,2010,0,1
2010-05-01T00:00:00,455.3547438,5,2,Co Chien,2010,0,1
2010-06-01T00:00:00,312.4454054,6,2,Co Chien,2010,0,1
2010-07-01T00:00:00,472.24613,7,3,Co Chien,2010,0,1
2010-08-01T00:00:00,719.1325301,8,3,Co Chien,2010,0,1
2010-09-01T00:00:00,,9,3,Co Chien,2010,0,1
2010-10-01T00:00:00,441.752322,10,4,Co Chien,2010,0,1
2010-11-01T00:00:00,520.8664921,11,4,Co Chien,2010,0,1
2010-12-01T00:00:00,261.617801,12,4,Co Chien,2010,0,1
2011-01-01T00:00:00,321.2973169,1,1,Co Chien,2011,0,1
2011-02-01T00:00:00,472.0211006,2,1,Co Chien,2011,0,1
2011-03-01T00:00:00,368.1175973,3,1,Co Chien,2011,0,1
2011-04-01T00:00:00,647.7695794,4,2,Co Chien,2011,0,1
2011-05-01T00:00:00,582.7601523,5,2,Co Chien,2011,0,1
2011-06-01T00:00:00,375,6,2,Co Chien,2011,0,1
2011-07-01T00:00:00,459.8095238,7,3,Co Chien,2011,0,1
2011-08-01T00:00:00,553.3045685,8,3,Co Chien,2011,0,1
2011-09-01T00:00:00,,9,3,Co Chien,2011,0,1
2011-10-01T00:00:00,449.1155821,10,4,Co Chien,2011,0,1
2011-11-01T00:00:00,442.6884328,11,4,Co Chien,2011,0,1
2011-12-01T00:00:00,359.6649215,12,4,Co Chien,2011,0,1
2012-01-01T00:00:00,387.1830716,1,1,Co Chien,2012,0,1
2012-02-01T00:00:00,408.7959362,2,1,Co Chien,2012,0,1
2012-03-01T00:00:00,313.234555,3,1,Co Chien,2012,0,1
2012-04-01T00:00:00,254.83,4,2,Co Chien,2012,0,1
2012-05-01T00:00:00,587.6723386,5,2,Co Chien,2012,0,1
2012-06-01T00:00:00,473.8378378,6,2,Co Chien,2012,0,1
2012-07-01T00:00:00,415.125,7,3,Co Chien,2012,0,1
2012-08-01T00:00:00,482.7378378,8,3,Co Chien,2012,0,1
2012-09-01T00:00:00,505.6465969,9,3,Co Chien,2012,0,1
2012-10-01T00:00:00,507.0366492,10,4,Co Chien,2012,0,1
2012-11-01T00:00:00,396.5351171,11,4,Co Chien,2012,0,1
2012-12-01T00:00:00,207.5998255,12,4,Co Chien,2012,0,1
2013-01-01T00:00:00,416.0083492,1,1,Co Chien,2013,0,1
2013-02-01T00:00:00,290.1059183,2,1,Co Chien,2013,0,1
