date,NO2,month,name,year,bridge,dmonth
2010-12-01T00:00:00,117,12,Cao Lanh,2010,0,11
2010-12-01T00:00:00,205,12,My Loi,2010,0,11
2011-01-01T00:00:00,162,1,Can Tho,2011,1,0
2011-01-01T00:00:00,179,1,Co Chien,2011,0,0
2011-01-01T00:00:00,183,1,Ham Luong,2011,0,0
2011-01-01T00:00:00,220,1,Rach Mieu,2011,1,0
2011-01-01T00:00:00,156,1,My Thuan,2011,1,0
2011-01-01T00:00:00,149,1,Vam Cong,2011,0,0
2011-01-01T00:00:00,153,1,Cao Lanh,2011,0,0
2011-01-01T00:00:00,261,1,My Loi,2011,0,0
2011-02-01T00:00:00,162,2,Can Tho,2011,1,1
2011-02-01T00:00:00,102,2,Co Chien,2011,0,1
2011-02-01T00:00:00,129,2,Ham Luong,2011,0,1
2011-02-01T00:00:00,159,2,Rach Mieu,2011,1,1
2011-02-01T00:00:00,185,2,My Thuan,2011,1,1
2011-02-01T00:00:00,178,2,Vam Cong,2011,0,1
2011-02-01T00:00:00,183,2,Cao Lanh,2011,0,1
2011-02-01T00:00:00,216,2,My Loi,2011,0,1
2011-03-01T00:00:00,176,3,Can Tho,2011,1,2
2011-03-01T00:00:00,171,3,Co Chien,2011,0,2
2011-03-01T00:00:00,140,3,Ham Luong,2011,0,2
2011-03-01T00:00:00,160,3,Rach Mieu,2011,1,2
2011-03-01T00:00:00,162,3,My Thuan,2011,1,2
2011-03-01T00:00:00,229,3,Vam Cong,2011,0,2
2011-03-01T00:00:00,196,3,Cao Lanh,2011,0,2
2011-03-01T00:00:00,209,3,My Loi,2011,0,2
2011-04-01T00:00:00,134,4,Can Tho,2011,1,3
2011-04-01T00:00:00,154,4,Co Chien,2011,0,3
2011-04-01T00:00:00,179,4,Ham Luong,2011,0,3
2011-04-01T00:00:00,208,4,Rach Mieu,2011,1,3
2011-04-01T00:00:00,169,4,My Thuan,2011,1,3
2011-04-01T00:00:00,210,4,Vam Cong,2011,0,3
2011-04-01T00:00:00,204,4,Cao Lanh,2011,0,3
2011-04-01T00:00:00,282,4,My Loi,2011,0,3
2011-05-01T00:00:00,139,5,Can Tho,2011,1,4
2011-05-01T00:00:00,129,5,Co Chien,2011,0,4
2011-05-01T00:00:00,147,5,Ham Luong,2011,0,4
2011-05-01T00:00:00,155,5,Rach Mieu,2011,1,4
2011-05-01T00:00:00,178,5,My Thuan,2011,1,4
2011-05-01T00:00:00,159,5,Vam Cong,2011,0,4
2011-05-01T00:00:00,200,5,Cao Lanh,2011,0,4
2011-05-01T00:00:00,208,5,My Loi,2011,0,4
2011-06-01T00:00:00,117,6,Can Tho,2011,1,5
2011-06-01T00:00:00,150,6,Co Chien,2011,0,5
2011-06-01T00:00:00,144,6,Ham Luong,2011,0,5
2011-06-01T00:00:00,139,6,Rach Mieu,2011,1,5
2011-06-01T00:00:00,100,6,My Thuan,2011,1,5
2011-06-01T00:00:00,102,6,Vam Cong,2011,0,5
2011-06-01T00:00:00,97,6,Cao Lanh,2011,0,5
2011-06-01T00:00:00,105,6,My Loi,2011,0,5
2011-07-01T00:00:00,80,7,Can Tho,2011,1,6
2011-07-01T00:00:00,132,7,Co Chien,2011,0,6
2011-07-01T00:00:00,139,7,Ham Luong,2011,0,6
2011-07-01T00:00:00,153,7,Rach Mieu,2011,1,6
2011-07-01T00:00:00,97,7,My Thuan,2011,1,6
2011-07-01T00:00:00,141,7,Vam Cong,2011,0,6
2011-07-01T00:00:00,160,7,Cao Lanh,2011,0,6
2011-07-01T00:00:00,160,7,My Loi,2011,0,6
2011-08-01T00:00:00,90,8,Can Tho,2011,1,7
2011-08-01T00:00:00,139,8,Co Chien,2011,0,7
2011-08-01T00:00:00,156,8,Ham Luong,2011,0,7
2011-08-01T00:00:00,170,8,Rach Mieu,2011,1,7
2011-08-01T00:00:00,179,8,My Thuan,2011,1,7
2011-08-01T00:00:00,149,8,Vam Cong,2011,0,7
2011-08-01T00:00:00,134,8,Cao Lanh,2011,0,7
2011-08-01T00:00:00,177,8,My Loi,2011,0,7
2011-09-01T00:00:00,132,9,Can Tho,2011,1,8
2011-09-01T00:00:00,129,9,Co Chien,2011,0,8
2011-09-01T00:00:00,147,9,Ham Luong,2011,0,8
2011-09-01T00:00:00,163,9,Rach Mieu,2011,1,8
2011-09-01T00:00:00,131,9,My Thuan,2011,1,8
